"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"d5b34ac7925dbf36ebd52d721f778600",5.99367245754618,-1.91127978261953,0.432536977940999,-4.41876620981118,9.92659561229181e-06,0.000317651059593338,"Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"7f44f5eec82e21c0acafd231aff4611b",3.27587508333641,1.76484771432052,0.365573728325177,4.82761089645561,1.381807442923e-06,6.31683402479088e-05,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
"626e8cadaf434c0bfa78c13d1dbde018",3.05198440105952,-1.74677501105791,0.403345468069418,-4.33071684037685,1.48624704629345e-05,0.00043236277710355,"Bacteria","Planctomycetes","BD7-11","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"696728884a83d75c3be4e5fcea6a01b5",8.84861381048932,2.78130843529189,0.451021756686449,6.1666835225988,6.97371332673619e-10,7.43862754851861e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"8d9881797d48d4e5e02c2cdd5fcb155c",5.03619839838729,2.51940417663259,0.503847291959579,5.00033287235511,5.72314191339728e-07,3.05234235381188e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"2332807853f18e52a250645f0e2c2b45",19.4884812815095,3.65650828742186,0.550647512970425,6.64037919230237,3.12877184263956e-11,1.00120698964466e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"e81b5983e6fd76a4969ff7f2ab1bd03a",2.41583488809114,-1.79651043476655,0.399440557188209,-4.49756641491981,6.87356929394944e-06,0.00024439357489598,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"578c446e99df776e65c78dc59e8f697a",33.3066012937817,3.21688914079103,0.590003293418023,5.45232404069283,4.97157564992498e-08,3.18180841595199e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella",NA
"57846cd98df3988ba283a9108e134a94",7.78414373746043,2.65922321359273,0.438320980262306,6.06683990349118,1.30451475688617e-09,1.04361180550893e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylophilus",NA
"501a6ee48b44a7d5f6faa820481a2699",3.23023812190959,2.19061080052143,0.456941570009396,4.79407203086467,1.63429549906181e-06,6.53718199624726e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"01fae3653643d20ee1106d85f17b67a9",5.55347498665901,2.89211348582474,0.457009916103818,6.32833858503793,2.47814903683479e-10,3.96503845893567e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
